Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,68000,,,-241.3243408203125,-5.929699897766113,0.5498361587524414,240.16610717773438,240.30844116210938,0.03657419607043266,0.0025711923372000456,0.0003,0.0003,0.03657368943095207
,,,,,68999,3321.925,1000,,,,,,,,,,
,,,,,69000,,,-245.43707275390625,-5.936975479125977,0.7242668867111206,244.37969970703125,244.2769012451172,0.036338482052087784,0.002290224190801382,0.0003,0.0003,0.0363382063806057
,,,,,69999,3339.6748,1000,,,,,,,,,,
3311.3892,24.916227,3362.433,3265.516,1000.0,70000,,,-249.14059448242188,-6.184309005737305,0.7040701508522034,248.12791442871094,248.15170288085938,0.03634645417332649,-0.006698971148580313,0.0003,0.0003,0.036345310509204865
,,,,,70999,3355.4026,1000,,,,,,,,,,
,,,,,71000,,,-249.0006103515625,-6.502330780029297,0.6398048400878906,247.8760986328125,247.88011169433594,0.036501552909612656,-0.018335862085223198,0.0003,0.0003,0.036503903567790985
,,,,,71999,3384.5295,1000,,,,,,,,,,
,,,,,72000,,,-253.1282196044922,-5.822207450866699,0.7042796611785889,252.24256896972656,252.38626098632812,0.037245191633701324,0.006621912587434053,0.0003,0.0003,0.03724754601716995
,,,,,72999,3340.4714,1000,,,,,,,,,,
,,,,,73000,,,-257.8880920410156,-5.941755294799805,0.4838781952857971,256.91131591796875,257.0400085449219,0.037900157272815704,0.0022074738517403603,0.0003,0.0003,0.03789976239204407
,,,,,73999,3443.521,1000,,,,,,,,,,
,,,,,74000,,,-257.6568908691406,-6.072484016418457,0.5558052062988281,256.4608154296875,256.4980773925781,0.0383889302611351,-0.0027825997676700354,0.0003,0.0003,0.03838823363184929
,,,,,74999,3429.7122,1000,,,,,,,,,,
3460.444,41.06568,3512.314,3383.4827,1000.0,75000,,,-261.2733459472656,-5.8232102394104,0.6277812719345093,260.3205871582031,260.1615905761719,0.03972875326871872,0.007023633923381567,0.0003,0.0003,0.03972923383116722
,,,,,75999,3397.923,1000,,,,,,,,,,
,,,,,76000,,,-260.3466796875,-5.654807090759277,0.6367020606994629,259.1618957519531,259.1640319824219,0.04039474204182625,0.013943984173238277,0.0003,0.0003,0.040394704788923264
,,,,,76999,3437.0679,1000,,,,,,,,,,
,,,,,77000,,,-265.9973449707031,-5.957747936248779,0.704730212688446,264.8370361328125,264.8039245605469,0.04067474231123924,0.0017185878241434693,0.0003,0.0003,0.04067527502775192
,,,,,77999,3481.9644,1000,,,,,,,,,,
,,,,,78000,,,-268.89434814453125,-5.867542266845703,0.5811769962310791,267.7430114746094,267.6214599609375,0.041048917919397354,0.005437247920781374,0.0003,0.0003,0.0410497710108757
,,,,,78999,3456.2102,1000,,,,,,,,,,
,,,,,79000,,,-272.56488037109375,-6.345468044281006,0.6584540605545044,271.38397216796875,271.313720703125,0.04136243835091591,-0.014289433136582375,0.0003,0.0003,0.0413631945848465
,,,,,79999,3534.2058,1000,,,,,,,,,,
3553.5305,26.135561,3586.7021,3502.0508,1000.0,80000,,,-273.2106018066406,-5.988612651824951,0.6119208335876465,272.0615234375,272.01251220703125,0.04217126965522766,0.000480233778944239,0.0003,0.0003,0.04217104986310005
,,,,,80999,3521.1812,1000,,,,,,,,,,
,,,,,81000,,,-277.23516845703125,-5.858403205871582,0.5896788835525513,276.042236328125,276.09722900390625,0.04182390123605728,0.005922132637351751,0.0003,0.0003,0.041822176426649094
,,,,,81999,3596.3718,1000,,,,,,,,,,
,,,,,82000,,,-276.8110046386719,-6.08828067779541,0.6003591418266296,275.5751647949219,275.5897521972656,0.042218320071697235,-0.00372705003246665,0.0003,0.0003,0.04221877455711365
,,,,,82999,3527.851,1000,,,,,,,,,,
,,,,,83000,,,-281.4631652832031,-5.7550201416015625,0.6741122603416443,280.2436828613281,280.4197998046875,0.04236814007163048,0.0103793665766716,0.0003,0.0003,0.042367011308670044
,,,,,83999,3595.8508,1000,,,,,,,,,,
,,,,,84000,,,-284.14324951171875,-5.90040397644043,0.6312256455421448,282.9008483886719,282.7940673828125,0.04247266799211502,0.004230112303048372,0.0003,0.0003,0.04247219115495682
,,,,,84999,3666.9338,1000,,,,,,,,,,
3670.8823,78.23605,3752.7495,3452.0525,1000.0,85000,,,-285.24859619140625,-5.716940402984619,0.430326908826828,284.0760192871094,284.16900634765625,0.04254025220870972,0.012041416950523853,0.0003,0.0003,0.04253999888896942
,,,,,85999,3682.1465,1000,,,,,,,,,,
,,,,,86000,,,-288.3750915527344,-5.690577983856201,0.5232126116752625,287.41082763671875,287.31646728515625,0.04281731694936752,0.013248637318611145,0.0003,0.0003,0.0428183488547802
,,,,,86999,2259.4807,1000,,,,,,,,,,
,,,,,87000,,,-288.4831237792969,-6.176030158996582,0.6669793128967285,287.1856689453125,287.27459716796875,0.042783644050359726,-0.007531226146966219,0.0003,0.0003,0.042782776057720184
,,,,,87999,3673.781,1000,,,,,,,,,,
,,,,,88000,,,-289.8866271972656,-5.674639701843262,1.0933902263641357,289.00286865234375,288.86407470703125,0.04111785814166069,0.01337810605764389,0.0003,0.0003,0.041117433458566666
,,,,,88999,3734.8125,1000,,,,,,,,,,
,,,,,89000,,,-288.4007873535156,-5.685096740722656,0.7881361246109009,287.2817077636719,287.3976135253906,0.039180900901556015,0.012338193133473396,0.0003,0.0003,0.03917892277240753
,,,,,89999,3711.8245,1000,,,,,,,,,,
3768.0332,56.279087,3837.408,3644.7314,1000.0,90000,,,-290.91253662109375,-5.918936252593994,0.8968762159347534,289.8580017089844,289.81280517578125,0.03810757026076317,0.0030891569331288338,0.0003,0.0003,0.038106389343738556
,,,,,90999,3785.753,1000,,,,,,,,,,
,,,,,91000,,,-296.0563659667969,-5.800217628479004,0.6625901460647583,295.0436096191406,295.0343017578125,0.038113828748464584,0.007614488247781992,0.0003,0.0003,0.038113784044981
,,,,,91999,3817.2375,1000,,,,,,,,,,
,,,,,92000,,,-295.886474609375,-6.368743896484375,0.732481062412262,294.8858642578125,294.94305419921875,0.03825002536177635,-0.014104473404586315,0.0003,0.0003,0.03825192153453827
,,,,,92999,3805.5022,1000,,,,,,,,,,
,,,,,93000,,,-292.1122131347656,-6.855223655700684,0.7972519397735596,290.9833984375,290.99920654296875,0.039148248732089996,-0.03348049893975258,0.0003,0.0003,0.03915069252252579
,,,,,93999,3750.3916,1000,,,,,,,,,,
,,,,,94000,,,-298.3292541503906,-6.450887680053711,0.8014498949050903,297.3648681640625,297.43212890625,0.0405145138502121,-0.01826748438179493,0.0003,0.0003,0.04051709547638893
,,,,,94999,3760.9978,1000,,,,,,,,,,
3774.6763,37.26114,3870.1147,3719.869,1000.0,95000,,,-300.9497375488281,-5.572815895080566,0.6578978300094604,300.09967041015625,300.1001281738281,0.041580427438020706,0.017762500792741776,0.0003,0.0003,0.041580911725759506
,,,,,95999,3855.6543,1000,,,,,,,,,,
,,,,,96000,,,-302.5490417480469,-6.1458611488342285,0.8036848306655884,301.74688720703125,301.56103515625,0.04177524894475937,-0.006093392614275217,0.0003,0.0003,0.041774969547986984
,,,,,96999,3870.268,1000,,,,,,,,,,
,,,,,97000,,,-305.176025390625,-6.040794372558594,0.7480089068412781,304.09027099609375,304.0272521972656,0.04288461431860924,-0.0017494595376774669,0.0003,0.0003,0.04288630187511444
,,,,,97999,3859.589,1000,,,,,,,,,,
,,,,,98000,,,-308.3857421875,-6.319316864013672,0.9931079149246216,307.27020263671875,307.23101806640625,0.044128019362688065,-0.014090821146965027,0.0003,0.0003,0.04412927106022835
,,,,,98999,3859.0044,1000,,,,,,,,,,
,,,,,99000,,,-306.9391784667969,-6.152230739593506,0.9825010299682617,305.89544677734375,305.76171875,0.045458097010850906,-0.006920128595083952,0.0003,0.0003,0.045462921261787415
,,,,,99999,3846.5195,1000,,,,,,,,,,
3563.7358,987.6995,3949.2864,603.8679,1000.0,100000,,,-314.0386047363281,-6.493048191070557,0.8968918919563293,312.6553955078125,312.54986572265625,0.04774456098675728,-0.023540357127785683,0.0003,0.0003,0.04774806648492813
,,,,,100999,3940.613,1000,,,,,,,,,,
,,,,,101000,,,-312.59552001953125,-5.862094879150391,0.8792184591293335,311.2705078125,311.3078308105469,0.04933466389775276,0.0068034827709198,0.0003,0.0003,0.049336206167936325
,,,,,101999,3892.2603,1000,,,,,,,,,,
,,,,,102000,,,-315.0014953613281,-6.350940227508545,0.7173588871955872,313.88812255859375,313.9052734375,0.04912840947508812,-0.017241131514310837,0.0003,0.0003,0.049127764999866486
,,,,,102999,3961.2317,1000,,,,,,,,,,
,,,,,103000,,,-317.3612060546875,-6.220144271850586,0.8677749037742615,316.1368103027344,316.139892578125,0.04887714982032776,-0.010760034434497356,0.0003,0.0003,0.04887770861387253
,,,,,103999,4011.9949,1000,,,,,,,,,,
,,,,,104000,,,-315.0519104003906,-5.873584747314453,0.8828415870666504,313.7835693359375,313.8495178222656,0.048775557428598404,0.0061659920029342175,0.0003,0.0003,0.04877716302871704
,,,,,104999,3938.18,1000,,,,,,,,,,
3949.149,57.18876,4036.7205,3835.7764,1000.0,105000,,,-321.5149841308594,-5.729559421539307,0.8144235014915466,320.30059814453125,320.3973083496094,0.048995330929756165,0.01325034350156784,0.0003,0.0003,0.04899127408862114
,,,,,105999,4049.3198,1000,,,,,,,,,,
,,,,,106000,,,-321.10888671875,-5.970035076141357,0.7924717664718628,319.9945068359375,319.9024353027344,0.048735037446022034,0.0014603266026824713,0.0003,0.0003,0.04873824492096901
,,,,,106999,4015.3818,1000,,,,,,,,,,
,,,,,107000,,,-322.9350891113281,-6.146293640136719,0.8026218414306641,321.7906799316406,321.8869934082031,0.04919486865401268,-0.007196868769824505,0.0003,0.0003,0.049197494983673096
,,,,,107999,4141.0166,1000,,,,,,,,,,
,,,,,108000,,,-327.4660949707031,-6.321328639984131,0.6842694282531738,326.4347229003906,326.4277038574219,0.049702730029821396,-0.015970909968018532,0.0003,0.0003,0.049703262746334076
,,,,,108999,3933.11,1000,,,,,,,,,,
,,,,,109000,,,-327.27801513671875,-5.994556427001953,0.9759246110916138,326.1851806640625,326.10931396484375,0.0501546710729599,0.00027301994850859046,0.0003,0.0003,0.050155773758888245
,,,,,109999,4013.3264,1000,,,,,,,,,,
4065.3276,38.975704,4106.1553,3963.2378,1000.0,110000,,,-328.51312255859375,-6.275561332702637,0.7393355369567871,327.208251953125,327.2896728515625,0.0504668653011322,-0.013906706124544144,0.0003,0.0003,0.050467804074287415
,,,,,110999,4127.8564,1000,,,,,,,,,,
,,,,,111000,,,-333.9319763183594,-6.374566555023193,0.7493686079978943,332.7539367675781,332.8747863769531,0.05109648406505585,-0.01913902722299099,0.0003,0.0003,0.051097240298986435
,,,,,111999,4157.3506,1000,,,,,,,,,,
