Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,7521,8.941894,11,,,,,,,,
,,,,,7536,13.487001,15,,,,,,,,
,,,,,7547,9.133841,11,,,,,,,,
,,,,,7586,29.203218,39,,,,,,,,
,,,,,7610,21.751774,24,,,,,,,,
,,,,,7627,9.781161,17,,,,,,,,
,,,,,7638,10.545773,11,,,,,,,,
,,,,,7666,32.68272,28,,,,,,,,
,,,,,7678,11.717517,12,,,,,,,,
,,,,,7712,44.641285,34,,,,,,,,
,,,,,7729,13.019235,17,,,,,,,,
,,,,,7743,12.53942,14,,,,,,,,
,,,,,7787,71.53554,44,,,,,,,,
,,,,,7804,12.954366,17,,,,,,,,
,,,,,7835,31.25641,31,,,,,,,,
,,,,,7853,14.863045,18,,,,,,,,
,,,,,7865,10.149213,12,,,,,,,,
,,,,,7905,23.591602,40,,,,,,,,
,,,,,7952,67.737495,47,,,,,,,,
,,,,,7972,23.864952,20,,,,,,,,
,,,,,7984,9.478195,12,,,,,,,,
,,,,,8000,14.034562,16,,,,,,,,
,,,,,8035,38.299595,35,,,,,,,,
,,,,,8055,22.50254,20,,,,,,,,
,,,,,8068,10.028383,13,,,,,,,,
,,,,,8089,19.423698,21,,,,,,,,
,,,,,8103,13.002152,14,,,,,,,,
,,,,,8122,17.95171,19,,,,,,,,
,,,,,8133,9.34843,11,,,,,,,,
,,,,,8149,15.143207,16,,,,,,,,
,,,,,8159,6.6880994,10,,,,,,,,
,,,,,8180,16.063976,21,,,,,,,,
,,,,,8195,11.204351,15,,,,,,,,
,,,,,8210,15.506945,15,,,,,,,,
,,,,,8229,15.072398,19,,,,,,,,
,,,,,8253,16.318712,24,,,,,,,,
,,,,,8267,9.872749,14,,,,,,,,
,,,,,8281,14.892818,14,,,,,,,,
,,,,,8298,15.448178,17,,,,,,,,
,,,,,8314,12.039137,16,,,,,,,,
,,,,,8327,11.323181,13,,,,,,,,
,,,,,8339,10.8779335,12,,,,,,,,
,,,,,8356,13.54998,17,,,,,,,,
,,,,,8369,7.570842,13,,,,,,,,
,,,,,8393,6.2357526,24,,,,,,,,
,,,,,8405,10.660008,12,,,,,,,,
,,,,,8420,11.871041,15,,,,,,,,
,,,,,8434,7.9427648,14,,,,,,,,
,,,,,8457,18.950962,23,,,,,,,,
,,,,,8507,46.207466,50,,,,,,,,
,,,,,8560,50.124546,53,,,,,,,,
,,,,,8580,14.604925,20,,,,,,,,
,,,,,8592,8.481735,12,,,,,,,,
,,,,,8603,9.04464,11,,,,,,,,
,,,,,8652,75.96017,49,,,,,,,,
,,,,,8662,7.4035816,10,,,,,,,,
,,,,,8679,14.019843,17,,,,,,,,
,,,,,8696,16.386023,17,,,,,,,,
,,,,,8710,10.9166765,14,,,,,,,,
,,,,,8737,8.523121,27,,,,,,,,
,,,,,8765,11.977372,28,,,,,,,,
,,,,,8790,20.539091,25,,,,,,,,
,,,,,8809,10.865325,19,,,,,,,,
,,,,,8830,15.982992,21,,,,,,,,
,,,,,8866,49.44998,36,,,,,,,,
,,,,,8883,14.979615,17,,,,,,,,
,,,,,8894,9.159839,11,,,,,,,,
,,,,,8916,25.61447,22,,,,,,,,
,,,,,8930,13.518089,14,,,,,,,,
,,,,,8969,43.84635,39,,,,,,,,
,,,,,9000,18.836988,31,,,,,,,,
,,,,,9039,47.345387,39,,,,,,,,
,,,,,9078,32.476345,39,,,,,,,,
,,,,,9104,20.357107,26,,,,,,,,
,,,,,9149,33.302742,45,,,,,,,,
,,,,,9170,16.154776,21,,,,,,,,
,,,,,9231,67.64975,61,,,,,,,,
,,,,,9248,14.821387,17,,,,,,,,
,,,,,9267,17.59741,19,,,,,,,,
