Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,86000,,,4.519300937652588,27.965848922729492,28.462377548217773,219.81178283691406,0.863875,9.520822916666667e-05
,,,,,86110,330.0,2290,,,,,,
,,,,,86588,300.0,1938,,,,,,
,,,,,86981,220.0,1586,,,,,,
,,,,,87000,,,128.47103881835938,20.052785873413086,23.241230010986328,631.8928833007812,0.8618125,9.51040625e-05
,,,,,87456,320.0,1914,,,,,,
,,,,,87912,290.0,1834,,,,,,
,,,,,88000,,,3.897515058517456,25.728391647338867,24.682891845703125,383.05535888671875,0.85975,9.499989583333334e-05
,,,,,88306,240.0,1594,,,,,,
,,,,,88697,210.0,1586,,,,,,
,,,,,89000,,,5.483250617980957,25.69327735900879,26.026409149169922,223.57937622070312,0.8576875,9.489572916666667e-05
,,,,,89459,360.0,3066,,,,,,
292.0,59.799667,340.0,180.0,2039.6,90000,,,7.62774658203125,23.84092140197754,23.51542091369629,257.273193359375,0.855625,9.479156250000001e-05
,,,,,90195,320.0,2970,,,,,,
,,,,,90690,330.0,1986,,,,,,
,,,,,91000,,,7.019878387451172,22.97285270690918,21.941585540771484,371.4158630371094,0.8535625,9.468739583333334e-05
,,,,,91204,160.0,2082,,,,,,
,,,,,91611,180.0,1634,,,,,,
,,,,,92000,,,11.035566329956055,27.71739959716797,28.528072357177734,279.181884765625,0.8515,9.458322916666668e-05
,,,,,92168,260.0,2226,,,,,,
,,,,,92693,280.0,2122,,,,,,
,,,,,93000,,,98.00591278076172,19.116527557373047,21.273681640625,2062.599365234375,0.8494375000000001,9.447906250000001e-05
,,,,,93159,200.0,1882,,,,,,
,,,,,93673,290.0,2082,,,,,,
,,,,,94000,,,11.903943061828613,25.421398162841797,25.73775863647461,192.22116088867188,0.847375,9.437489583333334e-05
,,,,,94188,300.0,2066,,,,,,
,,,,,94728,220.0,2178,,,,,,
,,,,,95000,,,12.675016403198242,29.455299377441406,27.929841995239258,601.4216918945312,0.8453125,9.427072916666667e-05
,,,,,95041,110.0,1258,,,,,,
,,,,,95835,500.0,3186,,,,,,
,,,,,96000,,,21.124237060546875,25.142658233642578,25.654502868652344,353.8511047363281,0.84325,9.41665625e-05
,,,,,96657,1340.0,3298,,,,,,
,,,,,97000,,,8.908853530883789,31.931018829345703,31.695226669311523,268.2698669433594,0.8411875,9.406239583333334e-05
,,,,,97025,200.0,1490,,,,,,
,,,,,97518,310.0,1978,,,,,,
,,,,,98000,,,322.3319091796875,25.191791534423828,28.552143096923828,665.0089111328125,0.839125,9.395822916666667e-05
,,,,,98044,320.0,2130,,,,,,
,,,,,98584,260.0,2162,,,,,,
,,,,,99000,,,6.833800315856934,26.00603675842285,25.177461624145508,332.9094543457031,0.8370625,9.385406250000001e-05
,,,,,99109,320.0,2130,,,,,,
,,,,,99640,250.0,2138,,,,,,
442.0,235.78804,1000.0,210.0,2102.8,100000,,,11.46666431427002,27.605178833007812,26.741731643676758,489.97869873046875,0.835,9.374989583333334e-05
,,,,,100076,230.0,1746,,,,,,
,,,,,100711,280.0,2546,,,,,,
,,,,,101000,,,3.7252771854400635,34.07882308959961,33.27751159667969,268.94854736328125,0.8329375,9.364572916666668e-05
,,,,,101241,360.0,2122,,,,,,
,,,,,101709,240.0,1874,,,,,,
,,,,,102000,,,5.726316928863525,27.24254035949707,28.02660369873047,368.9038391113281,0.830875,9.35415625e-05
,,,,,102291,480.0,2354,,,,,,
,,,,,102796,240.0,2042,,,,,,
,,,,,103000,,,3.55865740776062,31.73973846435547,30.818174362182617,414.0614013671875,0.8288125,9.343739583333334e-05
,,,,,103287,230.0,1986,,,,,,
,,,,,103571,140.0,1162,,,,,,
,,,,,103971,180.0,1626,,,,,,
,,,,,104000,,,13.271906852722168,28.265033721923828,27.69381332397461,335.5357666015625,0.82675,9.333322916666666e-05
,,,,,104471,280.0,2018,,,,,,
,,,,,105000,,,105.2024917602539,35.182369232177734,37.08946990966797,1000.6058349609375,0.8246875,9.32290625e-05
,,,,,105028,210.0,2250,,,,,,
,,,,,105467,260.0,1754,,,,,,
