Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,10059,50.0,50,,,,,,
,,,,,10154,95.0,95,,,,,,
,,,,,10184,30.0,30,,,,,,
,,,,,10235,51.0,51,,,,,,
,,,,,10260,25.0,25,,,,,,
,,,,,10311,51.0,51,,,,,,
,,,,,10367,56.0,56,,,,,,
,,,,,10391,24.0,24,,,,,,
,,,,,10443,52.0,52,,,,,,
,,,,,10470,27.0,27,,,,,,
,,,,,10481,11.0,11,,,,,,
,,,,,10536,55.0,55,,,,,,
,,,,,10645,109.0,109,,,,,,
,,,,,10716,71.0,71,,,,,,
,,,,,10744,28.0,28,,,,,,
,,,,,10807,63.0,63,,,,,,
,,,,,10868,61.0,61,,,,,,
,,,,,10922,54.0,54,,,,,,
,,,,,10982,60.0,60,,,,,,
,,,,,11000,,,0.2063361257314682,8.756474494934082,8.722729682922363,1.5984859466552734,0.67,0.0005
,,,,,11059,77.0,77,,,,,,
,,,,,11077,18.0,18,,,,,,
,,,,,11092,15.0,15,,,,,,
,,,,,11141,49.0,49,,,,,,
,,,,,11199,58.0,58,,,,,,
,,,,,11217,18.0,18,,,,,,
,,,,,11247,30.0,30,,,,,,
,,,,,11284,37.0,37,,,,,,
,,,,,11297,13.0,13,,,,,,
,,,,,11331,34.0,34,,,,,,
,,,,,11386,55.0,55,,,,,,
,,,,,11470,84.0,84,,,,,,
,,,,,11495,25.0,25,,,,,,
,,,,,11526,31.0,31,,,,,,
,,,,,11539,13.0,13,,,,,,
,,,,,11554,15.0,15,,,,,,
,,,,,11577,23.0,23,,,,,,
,,,,,11632,55.0,55,,,,,,
,,,,,11694,62.0,62,,,,,,
,,,,,11766,72.0,72,,,,,,
,,,,,11796,30.0,30,,,,,,
,,,,,11816,20.0,20,,,,,,
,,,,,11835,19.0,19,,,,,,
,,,,,11879,44.0,44,,,,,,
,,,,,11967,88.0,88,,,,,,
,,,,,11994,27.0,27,,,,,,
,,,,,12000,,,0.07425951212644577,9.934349060058594,9.884644508361816,1.2296223640441895,0.6399999999999999,0.0005
,,,,,12007,13.0,13,,,,,,
,,,,,12029,22.0,22,,,,,,
,,,,,12042,13.0,13,,,,,,
,,,,,12094,52.0,52,,,,,,
,,,,,12127,33.0,33,,,,,,
,,,,,12149,22.0,22,,,,,,
,,,,,12187,38.0,38,,,,,,
,,,,,12201,14.0,14,,,,,,
,,,,,12250,49.0,49,,,,,,
,,,,,12318,68.0,68,,,,,,
,,,,,12377,59.0,59,,,,,,
,,,,,12419,42.0,42,,,,,,
,,,,,12475,56.0,56,,,,,,
164.9,42.996395,290.0,133.0,164.9,12500,,,0.20298048853874207,10.593096733093262,10.599251747131348,1.2024098634719849,0.625,0.0005
,,,,,12554,79.0,79,,,,,,
,,,,,12569,15.0,15,,,,,,
,,,,,12604,35.0,35,,,,,,
,,,,,12675,71.0,71,,,,,,
,,,,,12727,52.0,52,,,,,,
,,,,,12748,21.0,21,,,,,,
,,,,,12802,54.0,54,,,,,,
,,,,,12818,16.0,16,,,,,,
,,,,,12843,25.0,25,,,,,,
,,,,,12913,70.0,70,,,,,,
,,,,,12932,19.0,19,,,,,,
,,,,,12942,10.0,10,,,,,,
,,,,,12986,44.0,44,,,,,,
