Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,1355,5.0,5,,,,,,,,,,
,,,,,1359,4.0,4,,,,,,,,,,
,,,,,1362,3.0,3,,,,,,,,,,
,,,,,1366,4.0,4,,,,,,,,,,
,,,,,1371,5.0,5,,,,,,,,,,
,,,,,1380,9.0,9,,,,,,,,,,
,,,,,1398,18.0,18,,,,,,,,,,
,,,,,1411,13.0,13,,,,,,,,,,
,,,,,1418,7.0,7,,,,,,,,,,
,,,,,1427,9.0,9,,,,,,,,,,
,,,,,1434,7.0,7,,,,,,,,,,
,,,,,1438,4.0,4,,,,,,,,,,
,,,,,1445,7.0,7,,,,,,,,,,
,,,,,1450,5.0,5,,,,,,,,,,
,,,,,1454,4.0,4,,,,,,,,,,
,,,,,1460,6.0,6,,,,,,,,,,
,,,,,1463,3.0,3,,,,,,,,,,
,,,,,1466,3.0,3,,,,,,,,,,
,,,,,1474,8.0,8,,,,,,,,,,
,,,,,1477,3.0,3,,,,,,,,,,
,,,,,1482,5.0,5,,,,,,,,,,
,,,,,1497,15.0,15,,,,,,,,,,
,,,,,1502,5.0,5,,,,,,,,,,
,,,,,1509,7.0,7,,,,,,,,,,
,,,,,1520,11.0,11,,,,,,,,,,
,,,,,1535,15.0,15,,,,,,,,,,
,,,,,1542,7.0,7,,,,,,,,,,
,,,,,1547,5.0,5,,,,,,,,,,
,,,,,1554,7.0,7,,,,,,,,,,
,,,,,1566,12.0,12,,,,,,,,,,
,,,,,1570,4.0,4,,,,,,,,,,
,,,,,1576,6.0,6,,,,,,,,,,
,,,,,1583,7.0,7,,,,,,,,,,
,,,,,1590,7.0,7,,,,,,,,,,
,,,,,1595,5.0,5,,,,,,,,,,
,,,,,1599,4.0,4,,,,,,,,,,
,,,,,1602,3.0,3,,,,,,,,,,
,,,,,1608,6.0,6,,,,,,,,,,
,,,,,1613,5.0,5,,,,,,,,,,
,,,,,1617,4.0,4,,,,,,,,,,
,,,,,1631,14.0,14,,,,,,,,,,
,,,,,1647,16.0,16,,,,,,,,,,
,,,,,1652,5.0,5,,,,,,,,,,
,,,,,1657,5.0,5,,,,,,,,,,
,,,,,1662,5.0,5,,,,,,,,,,
,,,,,1667,5.0,5,,,,,,,,,,
,,,,,1678,11.0,11,,,,,,,,,,
,,,,,1684,6.0,6,,,,,,,,,,
,,,,,1693,9.0,9,,,,,,,,,,
,,,,,1697,4.0,4,,,,,,,,,,
,,,,,1702,5.0,5,,,,,,,,,,
,,,,,1711,9.0,9,,,,,,,,,,
,,,,,1716,5.0,5,,,,,,,,,,
,,,,,1724,8.0,8,,,,,,,,,,
,,,,,1736,12.0,12,,,,,,,,,,
,,,,,1752,16.0,16,,,,,,,,,,
,,,,,1756,4.0,4,,,,,,,,,,
,,,,,1760,4.0,4,,,,,,,,,,
,,,,,1765,5.0,5,,,,,,,,,,
,,,,,1768,3.0,3,,,,,,,,,,
,,,,,1773,5.0,5,,,,,,,,,,
,,,,,1794,21.0,21,,,,,,,,,,
,,,,,1797,3.0,3,,,,,,,,,,
,,,,,1801,4.0,4,,,,,,,,,,
,,,,,1805,4.0,4,,,,,,,,,,
,,,,,1812,7.0,7,,,,,,,,,,
,,,,,1817,5.0,5,,,,,,,,,,
,,,,,1820,3.0,3,,,,,,,,,,
,,,,,1827,7.0,7,,,,,,,,,,
,,,,,1832,5.0,5,,,,,,,,,,
,,,,,1841,9.0,9,,,,,,,,,,
,,,,,1852,11.0,11,,,,,,,,,,
,,,,,1855,3.0,3,,,,,,,,,,
,,,,,1861,6.0,6,,,,,,,,,,
,,,,,1869,8.0,8,,,,,,,,,,
,,,,,1885,16.0,16,,,,,,,,,,
,,,,,1890,5.0,5,,,,,,,,,,
,,,,,1894,4.0,4,,,,,,,,,,
,,,,,1898,4.0,4,,,,,,,,,,
,,,,,1901,3.0,3,,,,,,,,,,
,,,,,1904,3.0,3,,,,,,,,,,
,,,,,1908,4.0,4,,,,,,,,,,
,,,,,1918,10.0,10,,,,,,,,,,
,,,,,1926,8.0,8,,,,,,,,,,
,,,,,1931,5.0,5,,,,,,,,,,
,,,,,1934,3.0,3,,,,,,,,,,
,,,,,1941,7.0,7,,,,,,,,,,
,,,,,1951,10.0,10,,,,,,,,,,
,,,,,1956,5.0,5,,,,,,,,,,
,,,,,1967,11.0,11,,,,,,,,,,
,,,,,1989,22.0,22,,,,,,,,,,
,,,,,1998,9.0,9,,,,,,,,,,
,,,,,2006,8.0,8,,,,,,,,,,
,,,,,2013,7.0,7,,,,,,,,,,
,,,,,2020,7.0,7,,,,,,,,,,
,,,,,2029,9.0,9,,,,,,,,,,
,,,,,2034,5.0,5,,,,,,,,,,
,,,,,2048,14.0,14,,,,,,,,,,
,,,,,2053,5.0,5,,,,,,,,,,
,,,,,2059,6.0,6,,,,,,,,,,
,,,,,2068,9.0,9,,,,,,,,,,
,,,,,2073,5.0,5,,,,,,,,,,
,,,,,2087,14.0,14,,,,,,,,,,
,,,,,2094,7.0,7,,,,,,,,,,
,,,,,2102,8.0,8,,,,,,,,,,
,,,,,2108,6.0,6,,,,,,,,,,
,,,,,2114,6.0,6,,,,,,,,,,
,,,,,2123,9.0,9,,,,,,,,,,
,,,,,2130,7.0,7,,,,,,,,,,
,,,,,2147,17.0,17,,,,,,,,,,
,,,,,2151,4.0,4,,,,,,,,,,
,,,,,2155,4.0,4,,,,,,,,,,
,,,,,2167,12.0,12,,,,,,,,,,
,,,,,2175,8.0,8,,,,,,,,,,
,,,,,2178,3.0,3,,,,,,,,,,
,,,,,2187,9.0,9,,,,,,,,,,
,,,,,2196,9.0,9,,,,,,,,,,
,,,,,2204,8.0,8,,,,,,,,,,
,,,,,2216,12.0,12,,,,,,,,,,
,,,,,2225,9.0,9,,,,,,,,,,
,,,,,2228,3.0,3,,,,,,,,,,
,,,,,2231,3.0,3,,,,,,,,,,
,,,,,2236,5.0,5,,,,,,,,,,
,,,,,2243,7.0,7,,,,,,,,,,
,,,,,2247,4.0,4,,,,,,,,,,
,,,,,2252,5.0,5,,,,,,,,,,
,,,,,2269,17.0,17,,,,,,,,,,
,,,,,2280,11.0,11,,,,,,,,,,
,,,,,2283,3.0,3,,,,,,,,,,
,,,,,2288,5.0,5,,,,,,,,,,
,,,,,2301,13.0,13,,,,,,,,,,
,,,,,2306,5.0,5,,,,,,,,,,
,,,,,2316,10.0,10,,,,,,,,,,
,,,,,2324,8.0,8,,,,,,,,,,
,,,,,2335,11.0,11,,,,,,,,,,
,,,,,2346,11.0,11,,,,,,,,,,
,,,,,2352,6.0,6,,,,,,,,,,
,,,,,2357,5.0,5,,,,,,,,,,
,,,,,2361,4.0,4,,,,,,,,,,
,,,,,2373,12.0,12,,,,,,,,,,
,,,,,2383,10.0,10,,,,,,,,,,
,,,,,2394,11.0,11,,,,,,,,,,
,,,,,2403,9.0,9,,,,,,,,,,
,,,,,2410,7.0,7,,,,,,,,,,
,,,,,2419,9.0,9,,,,,,,,,,
,,,,,2422,3.0,3,,,,,,,,,,
,,,,,2426,4.0,4,,,,,,,,,,
,,,,,2430,4.0,4,,,,,,,,,,
,,,,,2437,7.0,7,,,,,,,,,,
,,,,,2449,12.0,12,,,,,,,,,,
,,,,,2454,5.0,5,,,,,,,,,,
,,,,,2459,5.0,5,,,,,,,,,,
,,,,,2463,4.0,4,,,,,,,,,,
,,,,,2469,6.0,6,,,,,,,,,,
,,,,,2472,3.0,3,,,,,,,,,,
,,,,,2476,4.0,4,,,,,,,,,,
,,,,,2481,5.0,5,,,,,,,,,,
,,,,,2484,3.0,3,,,,,,,,,,
,,,,,2500,16.0,16,,,,,,,,,,
,,,,,2505,5.0,5,,,,,,,,,,
,,,,,2516,11.0,11,,,,,,,,,,
,,,,,2524,8.0,8,,,,,,,,,,
,,,,,2531,7.0,7,,,,,,,,,,
,,,,,2541,10.0,10,,,,,,,,,,
,,,,,2544,3.0,3,,,,,,,,,,
,,,,,2557,13.0,13,,,,,,,,,,
,,,,,2569,12.0,12,,,,,,,,,,
,,,,,2576,7.0,7,,,,,,,,,,
,,,,,2580,4.0,4,,,,,,,,,,
,,,,,2587,7.0,7,,,,,,,,,,
,,,,,2590,3.0,3,,,,,,,,,,
,,,,,2608,18.0,18,,,,,,,,,,
,,,,,2613,5.0,5,,,,,,,,,,
,,,,,2637,24.0,24,,,,,,,,,,
,,,,,2653,16.0,16,,,,,,,,,,
,,,,,2658,5.0,5,,,,,,,,,,
,,,,,2661,3.0,3,,,,,,,,,,
,,,,,2664,3.0,3,,,,,,,,,,
,,,,,2668,4.0,4,,,,,,,,,,
,,,,,2676,8.0,8,,,,,,,,,,
,,,,,2680,4.0,4,,,,,,,,,,
,,,,,2688,8.0,8,,,,,,,,,,
,,,,,2696,8.0,8,,,,,,,,,,
,,,,,2701,5.0,5,,,,,,,,,,
,,,,,2705,4.0,4,,,,,,,,,,
,,,,,2709,4.0,4,,,,,,,,,,
,,,,,2719,10.0,10,,,,,,,,,,
,,,,,2726,7.0,7,,,,,,,,,,
,,,,,2735,9.0,9,,,,,,,,,,
,,,,,2743,8.0,8,,,,,,,,,,
,,,,,2760,17.0,17,,,,,,,,,,
,,,,,2769,9.0,9,,,,,,,,,,
,,,,,2775,6.0,6,,,,,,,,,,
,,,,,2779,4.0,4,,,,,,,,,,
,,,,,2786,7.0,7,,,,,,,,,,
,,,,,2790,4.0,4,,,,,,,,,,
,,,,,2796,6.0,6,,,,,,,,,,
,,,,,2801,5.0,5,,,,,,,,,,
,,,,,2820,19.0,19,,,,,,,,,,
,,,,,2829,9.0,9,,,,,,,,,,
,,,,,2835,6.0,6,,,,,,,,,,
,,,,,2839,4.0,4,,,,,,,,,,
,,,,,2846,7.0,7,,,,,,,,,,
,,,,,2860,14.0,14,,,,,,,,,,
,,,,,2872,12.0,12,,,,,,,,,,
,,,,,2879,7.0,7,,,,,,,,,,
,,,,,2889,10.0,10,,,,,,,,,,
,,,,,2904,15.0,15,,,,,,,,,,
,,,,,2919,15.0,15,,,,,,,,,,
,,,,,2922,3.0,3,,,,,,,,,,
,,,,,2925,3.0,3,,,,,,,,,,
,,,,,2930,5.0,5,,,,,,,,,,
,,,,,2936,6.0,6,,,,,,,,,,
,,,,,2945,9.0,9,,,,,,,,,,
,,,,,2949,4.0,4,,,,,,,,,,
,,,,,2952,3.0,3,,,,,,,,,,
,,,,,2959,7.0,7,,,,,,,,,,
,,,,,2966,7.0,7,,,,,,,,,,
,,,,,2969,3.0,3,,,,,,,,,,
,,,,,2973,4.0,4,,,,,,,,,,
,,,,,2986,13.0,13,,,,,,,,,,
,,,,,2990,4.0,4,,,,,,,,,,
,,,,,2995,5.0,5,,,,,,,,,,
,,,,,3002,7.0,7,,,,,,,,,,
,,,,,3009,7.0,7,,,,,,,,,,
,,,,,3012,3.0,3,,,,,,,,,,
,,,,,3016,4.0,4,,,,,,,,,,
,,,,,3030,14.0,14,,,,,,,,,,
,,,,,3034,4.0,4,,,,,,,,,,
,,,,,3041,7.0,7,,,,,,,,,,
,,,,,3047,6.0,6,,,,,,,,,,
,,,,,3052,5.0,5,,,,,,,,,,
,,,,,3059,7.0,7,,,,,,,,,,
,,,,,3067,8.0,8,,,,,,,,,,
,,,,,3073,6.0,6,,,,,,,,,,
,,,,,3077,4.0,4,,,,,,,,,,
,,,,,3081,4.0,4,,,,,,,,,,
,,,,,3086,5.0,5,,,,,,,,,,
,,,,,3090,4.0,4,,,,,,,,,,
,,,,,3098,8.0,8,,,,,,,,,,
,,,,,3104,6.0,6,,,,,,,,,,
,,,,,3117,13.0,13,,,,,,,,,,
,,,,,3120,3.0,3,,,,,,,,,,
,,,,,3124,4.0,4,,,,,,,,,,
,,,,,3127,3.0,3,,,,,,,,,,
,,,,,3131,4.0,4,,,,,,,,,,
,,,,,3134,3.0,3,,,,,,,,,,
,,,,,3138,4.0,4,,,,,,,,,,
,,,,,3142,4.0,4,,,,,,,,,,
,,,,,3152,10.0,10,,,,,,,,,,
,,,,,3162,10.0,10,,,,,,,,,,
,,,,,3166,4.0,4,,,,,,,,,,
,,,,,3183,17.0,17,,,,,,,,,,
,,,,,3187,4.0,4,,,,,,,,,,
,,,,,3191,4.0,4,,,,,,,,,,
,,,,,3196,5.0,5,,,,,,,,,,
,,,,,3201,5.0,5,,,,,,,,,,
,,,,,3205,4.0,4,,,,,,,,,,
,,,,,3208,3.0,3,,,,,,,,,,
,,,,,3212,4.0,4,,,,,,,,,,
,,,,,3221,9.0,9,,,,,,,,,,
,,,,,3227,6.0,6,,,,,,,,,,
,,,,,3233,6.0,6,,,,,,,,,,
,,,,,3236,3.0,3,,,,,,,,,,
,,,,,3241,5.0,5,,,,,,,,,,
,,,,,3248,7.0,7,,,,,,,,,,
,,,,,3260,12.0,12,,,,,,,,,,
,,,,,3265,5.0,5,,,,,,,,,,
,,,,,3275,10.0,10,,,,,,,,,,
,,,,,3280,5.0,5,,,,,,,,,,
,,,,,3286,6.0,6,,,,,,,,,,
,,,,,3294,8.0,8,,,,,,,,,,
,,,,,3303,9.0,9,,,,,,,,,,
,,,,,3306,3.0,3,,,,,,,,,,
,,,,,3309,3.0,3,,,,,,,,,,
,,,,,3315,6.0,6,,,,,,,,,,
,,,,,3319,4.0,4,,,,,,,,,,
,,,,,3332,13.0,13,,,,,,,,,,
,,,,,3340,8.0,8,,,,,,,,,,
,,,,,3356,16.0,16,,,,,,,,,,
,,,,,3361,5.0,5,,,,,,,,,,
,,,,,3367,6.0,6,,,,,,,,,,
,,,,,3374,7.0,7,,,,,,,,,,
,,,,,3378,4.0,4,,,,,,,,,,
,,,,,3383,5.0,5,,,,,,,,,,
,,,,,3388,5.0,5,,,,,,,,,,
,,,,,3391,3.0,3,,,,,,,,,,
,,,,,3404,13.0,13,,,,,,,,,,
,,,,,3413,9.0,9,,,,,,,,,,
,,,,,3419,6.0,6,,,,,,,,,,
,,,,,3430,11.0,11,,,,,,,,,,
,,,,,3437,7.0,7,,,,,,,,,,
,,,,,3442,5.0,5,,,,,,,,,,
,,,,,3455,13.0,13,,,,,,,,,,
,,,,,3464,9.0,9,,,,,,,,,,
,,,,,3472,8.0,8,,,,,,,,,,
,,,,,3476,4.0,4,,,,,,,,,,
,,,,,3481,5.0,5,,,,,,,,,,
,,,,,3487,6.0,6,,,,,,,,,,
,,,,,3498,11.0,11,,,,,,,,,,
,,,,,3505,7.0,7,,,,,,,,,,
,,,,,3510,5.0,5,,,,,,,,,,
,,,,,3525,15.0,15,,,,,,,,,,
,,,,,3528,3.0,3,,,,,,,,,,
,,,,,3538,10.0,10,,,,,,,,,,
,,,,,3542,4.0,4,,,,,,,,,,
,,,,,3549,7.0,7,,,,,,,,,,
,,,,,3559,10.0,10,,,,,,,,,,
,,,,,3563,4.0,4,,,,,,,,,,
,,,,,3573,10.0,10,,,,,,,,,,
,,,,,3588,15.0,15,,,,,,,,,,
,,,,,3593,5.0,5,,,,,,,,,,
,,,,,3607,14.0,14,,,,,,,,,,
,,,,,3611,4.0,4,,,,,,,,,,
,,,,,3615,4.0,4,,,,,,,,,,
,,,,,3623,8.0,8,,,,,,,,,,
