Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,1476,6.0,6,,,,,,,,
,,,,,1479,3.0,3,,,,,,,,
,,,,,1485,6.0,6,,,,,,,,
,,,,,1490,5.0,5,,,,,,,,
,,,,,1494,4.0,4,,,,,,,,
,,,,,1514,20.0,20,,,,,,,,
,,,,,1522,8.0,8,,,,,,,,
,,,,,1527,5.0,5,,,,,,,,
,,,,,1538,11.0,11,,,,,,,,
,,,,,1544,6.0,6,,,,,,,,
,,,,,1550,6.0,6,,,,,,,,
,,,,,1557,7.0,7,,,,,,,,
,,,,,1560,3.0,3,,,,,,,,
,,,,,1572,12.0,12,,,,,,,,
,,,,,1575,3.0,3,,,,,,,,
,,,,,1580,5.0,5,,,,,,,,
,,,,,1585,5.0,5,,,,,,,,
,,,,,1589,4.0,4,,,,,,,,
,,,,,1596,7.0,7,,,,,,,,
,,,,,1601,5.0,5,,,,,,,,
,,,,,1605,4.0,4,,,,,,,,
,,,,,1608,3.0,3,,,,,,,,
,,,,,1614,6.0,6,,,,,,,,
,,,,,1619,5.0,5,,,,,,,,
,,,,,1624,5.0,5,,,,,,,,
,,,,,1636,12.0,12,,,,,,,,
,,,,,1644,8.0,8,,,,,,,,
,,,,,1649,5.0,5,,,,,,,,
,,,,,1652,3.0,3,,,,,,,,
,,,,,1655,3.0,3,,,,,,,,
,,,,,1660,5.0,5,,,,,,,,
,,,,,1663,3.0,3,,,,,,,,
,,,,,1668,5.0,5,,,,,,,,
,,,,,1673,5.0,5,,,,,,,,
,,,,,1684,11.0,11,,,,,,,,
,,,,,1690,6.0,6,,,,,,,,
,,,,,1698,8.0,8,,,,,,,,
,,,,,1703,5.0,5,,,,,,,,
,,,,,1708,5.0,5,,,,,,,,
,,,,,1717,9.0,9,,,,,,,,
,,,,,1722,5.0,5,,,,,,,,
,,,,,1730,8.0,8,,,,,,,,
,,,,,1742,12.0,12,,,,,,,,
,,,,,1756,14.0,14,,,,,,,,
,,,,,1762,6.0,6,,,,,,,,
,,,,,1766,4.0,4,,,,,,,,
,,,,,1771,5.0,5,,,,,,,,
,,,,,1774,3.0,3,,,,,,,,
,,,,,1779,5.0,5,,,,,,,,
,,,,,1800,21.0,21,,,,,,,,
,,,,,1803,3.0,3,,,,,,,,
,,,,,1807,4.0,4,,,,,,,,
,,,,,1811,4.0,4,,,,,,,,
,,,,,1819,8.0,8,,,,,,,,
,,,,,1823,4.0,4,,,,,,,,
,,,,,1826,3.0,3,,,,,,,,
,,,,,1833,7.0,7,,,,,,,,
,,,,,1838,5.0,5,,,,,,,,
,,,,,1847,9.0,9,,,,,,,,
,,,,,1858,11.0,11,,,,,,,,
,,,,,1861,3.0,3,,,,,,,,
,,,,,1867,6.0,6,,,,,,,,
,,,,,1875,8.0,8,,,,,,,,
,,,,,1890,15.0,15,,,,,,,,
,,,,,1895,5.0,5,,,,,,,,
,,,,,1907,12.0,12,,,,,,,,
,,,,,1910,3.0,3,,,,,,,,
,,,,,1914,4.0,4,,,,,,,,
,,,,,1925,11.0,11,,,,,,,,
,,,,,1933,8.0,8,,,,,,,,
,,,,,1937,4.0,4,,,,,,,,
,,,,,1940,3.0,3,,,,,,,,
,,,,,1949,9.0,9,,,,,,,,
,,,,,1957,8.0,8,,,,,,,,
,,,,,1962,5.0,5,,,,,,,,
,,,,,1973,11.0,11,,,,,,,,
,,,,,1994,21.0,21,,,,,,,,
,,,,,1999,5.0,5,,,,,,,,
,,,,,2004,5.0,5,,,,,,,,
,,,,,2012,8.0,8,,,,,,,,
,,,,,2019,7.0,7,,,,,,,,
,,,,,2026,7.0,7,,,,,,,,
,,,,,2035,9.0,9,,,,,,,,
,,,,,2040,5.0,5,,,,,,,,
,,,,,2054,14.0,14,,,,,,,,
,,,,,2059,5.0,5,,,,,,,,
,,,,,2065,6.0,6,,,,,,,,
,,,,,2074,9.0,9,,,,,,,,
,,,,,2079,5.0,5,,,,,,,,
,,,,,2093,14.0,14,,,,,,,,
,,,,,2099,6.0,6,,,,,,,,
,,,,,2104,5.0,5,,,,,,,,
,,,,,2115,11.0,11,,,,,,,,
,,,,,2129,14.0,14,,,,,,,,
,,,,,2136,7.0,7,,,,,,,,
,,,,,2153,17.0,17,,,,,,,,
,,,,,2157,4.0,4,,,,,,,,
,,,,,2161,4.0,4,,,,,,,,
,,,,,2173,12.0,12,,,,,,,,
,,,,,2181,8.0,8,,,,,,,,
,,,,,2184,3.0,3,,,,,,,,
,,,,,2193,9.0,9,,,,,,,,
,,,,,2202,9.0,9,,,,,,,,
