Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,26126,-88.93506,86,,,,,,
,,,,,26238,-110.76373,112,,,,,,
,,,,,26356,-121.846054,118,,,,,,
,,,,,26416,-85.26668,60,,,,,,
,,,,,26495,-120.44974,79,,,,,,
,,,,,26637,-103.6328,142,,,,,,
,,,,,26736,-95.56366,99,,,,,,
,,,,,26841,-100.331,105,,,,,,
,,,,,27000,,,3.4320051670074463,-0.9320007562637329,-0.8193788528442383,21.716215133666992,0.838,0.001
,,,,,27002,-48.243786,161,,,,,,
,,,,,27121,-134.72093,119,,,,,,
,,,,,27223,-269.53482,102,,,,,,
,,,,,27330,-116.75578,107,,,,,,
,,,,,27412,-157.46796,82,,,,,,
,,,,,27511,-200.67265,99,,,,,,
,,,,,27632,-80.68757,121,,,,,,
,,,,,27754,-76.70363,122,,,,,,
,,,,,27875,-147.65305,121,,,,,,
,,,,,27973,-196.5413,98,,,,,,
,,,,,28000,,,2.1464362144470215,-0.7999718189239502,-0.9853837490081787,14.349461555480957,0.832,0.001
,,,,,28101,-81.94631,128,,,,,,
,,,,,28208,-134.32791,107,,,,,,
,,,,,28359,-263.0316,151,,,,,,
,,,,,28470,-109.95,111,,,,,,
,,,,,28603,-51.43028,133,,,,,,
,,,,,28688,-89.71548,85,,,,,,
,,,,,28821,-82.68167,133,,,,,,
,,,,,28891,-88.58544,70,,,,,,
,,,,,28971,-86.676575,80,,,,,,
,,,,,29000,,,3.2140371799468994,-3.0224196910858154,-3.064390182495117,12.542630195617676,0.8260000000000001,0.001
,,,,,29095,-42.463116,124,,,,,,
,,,,,29201,-83.30462,106,,,,,,
,,,,,29325,-88.60795,124,,,,,,
,,,,,29408,-89.554115,83,,,,,,
,,,,,29488,-65.35261,80,,,,,,
,,,,,29590,-161.73825,102,,,,,,
,,,,,29753,-92.36752,163,,,,,,
,,,,,29839,-107.16564,86,,,,,,
