Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,6210,8.468833,13,,,,,,,,
,,,,,6225,13.134448,15,,,,,,,,
,,,,,6240,9.95618,15,,,,,,,,
,,,,,6259,14.174898,19,,,,,,,,
,,,,,6279,14.355902,20,,,,,,,,
,,,,,6306,25.23633,27,,,,,,,,
,,,,,6323,9.8663025,17,,,,,,,,
,,,,,6366,62.578194,43,,,,,,,,
,,,,,6382,9.5588045,16,,,,,,,,
,,,,,6398,12.746243,16,,,,,,,,
,,,,,6417,19.687231,19,,,,,,,,
,,,,,6434,16.728554,17,,,,,,,,
,,,,,6460,21.043968,26,,,,,,,,
,,,,,6471,8.498599,11,,,,,,,,
,,,,,6506,26.806654,35,,,,,,,,
,,,,,6528,23.802896,22,,,,,,,,
,,,,,6555,28.713356,27,,,,,,,,
,,,,,6593,42.032185,38,,,,,,,,
,,,,,6603,8.158205,10,,,,,,,,
,,,,,6618,12.790334,15,,,,,,,,
,,,,,6629,9.680039,11,,,,,,,,
,,,,,6650,11.443531,21,,,,,,,,
,,,,,6668,15.771928,18,,,,,,,,
,,,,,6696,36.210983,28,,,,,,,,
,,,,,6724,35.047203,28,,,,,,,,
,,,,,6739,11.50885,15,,,,,,,,
,,,,,6816,99.958115,77,,,,,,,,
,,,,,6837,14.654547,21,,,,,,,,
,,,,,6862,9.896836,25,,,,,,,,
,,,,,6913,28.290813,51,,,,,,,,
,,,,,6988,133.57977,75,,,,,,,,
,,,,,7008,16.158224,20,,,,,,,,
,,,,,7048,36.107155,40,,,,,,,,
,,,,,7062,11.673864,14,,,,,,,,
,,,,,7090,13.3866205,28,,,,,,,,
,,,,,7103,12.254322,13,,,,,,,,
,,,,,7123,20.469908,20,,,,,,,,
,,,,,7145,20.59922,22,,,,,,,,
,,,,,7162,19.207205,17,,,,,,,,
,,,,,7181,18.846333,19,,,,,,,,
,,,,,7203,25.59263,22,,,,,,,,
,,,,,7218,10.89687,15,,,,,,,,
,,,,,7248,13.451292,30,,,,,,,,
,,,,,7274,13.193807,26,,,,,,,,
,,,,,7326,69.25572,52,,,,,,,,
,,,,,7343,16.7799,17,,,,,,,,
,,,,,7361,19.118078,18,,,,,,,,
,,,,,7384,23.295921,23,,,,,,,,
,,,,,7406,23.109644,22,,,,,,,,
,,,,,7439,31.420515,33,,,,,,,,
,,,,,7456,18.133844,17,,,,,,,,
,,,,,7471,12.892229,15,,,,,,,,
,,,,,7489,12.436654,18,,,,,,,,
,,,,,7516,23.139477,27,,,,,,,,
,,,,,7527,7.921501,11,,,,,,,,
,,,,,7577,47.44726,50,,,,,,,,
,,,,,7590,11.590232,13,,,,,,,,
,,,,,7635,39.07613,45,,,,,,,,
,,,,,7663,22.20835,28,,,,,,,,
,,,,,7702,52.790657,39,,,,,,,,
,,,,,7715,11.443904,13,,,,,,,,
,,,,,7755,53.815727,40,,,,,,,,
,,,,,7775,13.298506,20,,,,,,,,
,,,,,7788,8.019624,13,,,,,,,,
,,,,,7805,13.657417,17,,,,,,,,
,,,,,7821,12.991157,16,,,,,,,,
,,,,,7859,15.384135,38,,,,,,,,
,,,,,7882,14.850169,23,,,,,,,,
,,,,,7897,14.907773,15,,,,,,,,
,,,,,7917,14.670594,20,,,,,,,,
,,,,,7937,20.566841,20,,,,,,,,
,,,,,7960,13.316473,23,,,,,,,,
,,,,,8000,45.163837,40,,,,,,,,
,,,,,8016,12.226101,16,,,,,,,,
,,,,,8033,15.770654,17,,,,,,,,
,,,,,8055,14.2191725,22,,,,,,,,
,,,,,8070,11.25922,15,,,,,,,,
